,Mobile_names,Price,Ratings
0,"REDMI 12 5G (Pastel Blue, 256 GB)","₹16,344",4.1
1,"realme 10 Pro 5G (Hyperspace, 128 GB)","₹17,999",4.3
2,"realme 11x 5G (Midnight Black, 128 GB)","₹15,999",4.3
3,"realme 11 5G (Glory Black, 128 GB)","₹18,999",4.3
4,"realme 10 Pro 5G (Dark Matter, 128 GB)","₹17,999",4.3
5,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹17,095",4.4
6,"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹17,999",4.3
7,"POCO X5 Pro 5G (Astral Black, 128 GB)","₹19,999",4.3
8,"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹19,999",4.3
9,"REDMI 12 5G (Moonstone Silver, 128 GB)","₹14,100",4.3
10,"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹16,999",4.3
11,"realme 10 Pro 5G (Dark Matter, 128 GB)","₹16,999",4.3
12,"MOTOROLA g73 5G (Midnight Blue, 128 GB)","₹15,999",4
13,"OPPO A78 5G (Glowing Blue, 128 GB)","₹18,999",4.3
14,"OPPO A78 5G (Glowing Black, 128 GB)","₹18,999",4.3
15,"SAMSUNG Galaxy M14 5G (ICY Silver, 128 GB)","₹14,199",4.2
16,"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹15,238",4.2
17,"realme 11 5G (Glory Gold, 128 GB)","₹18,999",4.3
18,"realme 11 5G (Glory Black, 256 GB)","₹19,999",4.3
19,"REDMI 12 5G (Jade Black, 256 GB)","₹16,196",4.1
20,"realme 11 5G (Glory Gold, 256 GB)","₹19,999",4.3
21,"IQOO Z6 Lite 5G (With Charger) (Stellar Green, 128 GB)","₹15,280",4.3
22,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹16,999",4.3
23,"POCO X5 5G (Jaguar Black, 256 GB)","₹16,999",4.1
24,"IQOO Z6 Lite 5G (With Charger) (Stellar Green, 128 GB)","₹15,280",4.3
25,"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹15,238",4.2
26,"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹19,999",4.2
27,"POCO X5 5G (Jaguar Black, 256 GB)","₹16,999",4.1
28,"MOTOROLA g54 5G (Pearl Blue, 256 GB)","₹18,999",4
29,"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹13,618",4.2
30,"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)","₹19,999",4.2
31,"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹15,875",4.2
32,"POCO X5 5G (Supernova Green, 128 GB)","₹14,999",4.1
33,"REDMI 12c (Royal Blue, 128 GB)","₹9,740",4.1
34,"REDMI Note 12 5G (Mystique Blue, 128 GB)","₹16,999",3.9
35,"vivo Y02t (Sunset Gold, 64 GB)","₹9,499",4.2
36,"REDMI 12C (?Lavender Purple, 128 GB)","₹9,533",4.1
37,"MOTOROLA g54 5G (Midnight Blue, 256 GB)","₹18,999",4
38,"REDMI Note 12 5G (Matte Black, 128 GB)","₹18,999",4.1
39,"POCO X5 5G (Supernova Green, 256 GB)","₹16,999",4.1
40,"POCO X5 5G (Wildcat Blue, 256 GB)","₹16,999",4.1
41,"REDMI Note 10S (Deep Sea Blue, 128 GB)","₹16,699",4.2
